,Village,Group ID,Member ID,Branch Name,Circle Name,Loan Amount,Product Type,Name of Model,Product Detail,Institution Name,Manufacturer Name,Loan Account Number,Loan Application Date,Product Installed Date,Document Signature Date,loan_id,household_id,product_id,branch_id,partner_id
418,Melanthabettu,614670,2,Belthangady,Belthangady,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,638164,2018-12-29T00:00:00+05:30,2019-01-02T00:00:00+05:30,2018-12-29T00:00:00+05:30,2-638164,614670-2,38.0,2.0,1
419,IDDALHONDA,53617,3,Khanapur,Halakarni,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,111742,2019-01-17T00:00:00+05:30,2019-01-18T00:00:00+05:30,2019-01-17T00:00:00+05:30,52-111742,53617-3,38.0,50.0,1
420,KADADHANAMARI,560946,5,Chintamani,MUNGANAHALLI,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,140488,2018-10-31T000000+0530,2018-11-01T000000+0530,2018-10-31T000000+0530,141-140488,560946-5,38.0,130.0,1
421,BENDEKERE,367058,3,Arasikere,BANAVARA A,9500,Solar Light Selco,SB2HLS,2 CFL,SKDRDP,SELCO,150075,2018-06-28T00:00:00+05:30,2018-07-02T00:00:00+05:30,2018-06-28T00:00:00+05:30,100-150075,367058-3,43.0,92.0,1
422,Tamba,950311,7,Indi,TAMBA,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,99940,2019-01-03T00:00:00+05:30,2019-01-08T00:00:00+05:30,2019-01-03T00:00:00+05:30,161-99940,950311-7,38.0,149.0,1
423,Daddi,98972,3,Hukkeri,Daddi,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,173543,2018-09-24T00:00:00+05:30,2018-09-24T00:00:00+05:30,2018-09-24T00:00:00+05:30,46-173543,98972-3,38.0,44.0,1
424,Varkady,344422,14,Kumble-Kasargud,Paivalike,15500,Solar Light Selco,SH4HLS,4 COMBI Light,SKDRDP,SELCO,233281,2018-11-10T000000+0530,2018-11-20T000000+0530,2018-11-10T000000+0530,93-233281,344422-14,50.0,90.0,1
425,Kodi,683847,1,Kundapur,Kundapura,24000,Solar Light Selco,SB8HLS,8 CFL,SKDRDP,SELCO,796755,2018-01-08T00:00:00+05:30,2018-01-16T00:00:00+05:30,2018-01-08T00:00:00+05:30,12-796755,683847-1,47.0,12.0,1
426,Neriga,1010516,7,Anekal,Sarjapura,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,47730,2017-12-19T00:00:00+05:30,2017-12-26T00:00:00+05:30,2017-12-19T00:00:00+05:30,174-47730,1010516-7,38.0,2513.0,1
427,Abbinaholle,322746,4,Hiriyur,Babbur,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,241210,2018-11-02T000000+0530,2018-11-05T000000+0530,2018-11-02T000000+0530,79-241210,322746-4,38.0,76.0,1
428,Bijapur CMC,936561,4,Bijapur,JALANAGAR,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,115235,2018-10-31T000000+0530,2018-11-07T000000+0530,2018-10-31T000000+0530,158-115235,936561-4,38.0,146.0,1
429,Masur,162333,13,Hirekerur,Masur,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,82912,2018-09-20T00:00:00+05:30,2018-09-24T00:00:00+05:30,2018-09-20T00:00:00+05:30,64-82912,162333-13,38.0,61.0,1
430,Mannaekhalli,916737,2,Homnabad,Mannnakhelli,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,137032,2018-09-23T00:00:00+05:30,2018-09-24T00:00:00+05:30,2018-09-23T00:00:00+05:30,154-137032,916737-2,38.0,142.0,1
431,ANGADIHALLI,360141,12,Belur,HAGARE,9500,Solar Light Selco,SB2HLS,2 CFL,SKDRDP,SELCO,113956,2018-09-22T00:00:00+05:30,2018-09-27T00:00:00+05:30,2018-09-22T00:00:00+05:30,99-113956,360141-12,43.0,91.0,1
432,BALLA,575939,11,Mulubagilu,AVANI,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,73222,2017-09-26T00:00:00+05:30,2017-10-03T00:00:00+05:30,2017-09-26T00:00:00+05:30,144-73222,575939-11,38.0,133.0,1
433,,446208,1,Siruguppa,HACHHOLLI,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,126941,2019-03-09T00:00:00+05:30,2019-03-11T00:00:00+05:30,2019-03-09T00:00:00+05:30,116-126941,446208-1,38.0,108.0,1
434,ASHTOOR,921323,1,Bidar,MALEGAON,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,127945,2018-09-25T00:00:00+05:30,2018-09-29T00:00:00+05:30,2018-09-25T00:00:00+05:30,155-127945,921323-1,38.0,143.0,1
435,Anjutagi,950872,2,Indi,CHIKKABEVANUR,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,103135,2019-02-25T00:00:00+05:30,2019-03-04T00:00:00+05:30,2019-02-25T00:00:00+05:30,161-103135,950872-2,38.0,149.0,1
436,Suragondanahalli,320543,10,Hiriyur,Metikurke,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,222567,2018-09-17T00:00:00+05:30,2018-09-17T00:00:00+05:30,2018-09-17T00:00:00+05:30,79-222567,320543-10,38.0,76.0,1
437,Hampapura  Village Panchayatha,225366,8,Heggadevanakote,HAMPAPURA,10000,Solar Light Selco,SB2HLS,2 CFL,SKDRDP,SELCO,79115,2017-12-23T00:00:00+05:30,2017-12-25T00:00:00+05:30,2017-12-23T00:00:00+05:30,66-79115,225366-8,43.0,63.0,1
438,Huliyaru,32835,3,Chiknayakanahalli,Huliyaru,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,98648,2018-09-18T00:00:00+05:30,2018-09-18T00:00:00+05:30,2018-09-18T00:00:00+05:30,56-98648,32835-3,38.0,54.0,1
439,Bandooru,405880,6,Malavalli,THALAGAVADI,1240,Cook Stove GSSV3,GSSV3,,SKDRDP,Greenway Grameena Infra,114971,2017-11-24T00:00:00+05:30,2017-12-06T00:00:00+05:30,2017-11-24T00:00:00+05:30,108-114971,405880-6,37.0,100.0,1
440,Garehatti,325533,5,Chitradurga,Kasaba-A,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,303611,2019-01-16T00:00:00+05:30,2019-01-21T00:00:00+05:30,2019-01-16T00:00:00+05:30,81-303611,325533-5,38.0,78.0,1
441,Reddi halli,7997,2,Madhugiri,MEDIGESHI,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,96384,2019-03-16T00:00:00+05:30,2019-03-22T00:00:00+05:30,2019-03-16T00:00:00+05:30,62-96384,7997-2,38.0,60.0,1
442,Bethamangala,570610,5,Bangarpete,Bethamangala,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,178793,2019-01-05T00:00:00+05:30,2019-01-11T00:00:00+05:30,2019-01-05T00:00:00+05:30,143-178793,570610-5,38.0,132.0,1
443,Rajankollur,997294,4,Shorapur,Hunsgi,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,101464,2019-01-11T00:00:00+05:30,2019-01-18T00:00:00+05:30,2019-01-11T00:00:00+05:30,170-101464,997294-4,38.0,158.0,1
444,Ranebennur F,132389,3,Ranebennur,Ranebennur,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,109358,2018-09-22T00:00:00+05:30,2018-09-24T00:00:00+05:30,2018-09-22T00:00:00+05:30,34-109358,132389-3,38.0,34.0,1
445,Keshwapur A,1023588,3,Hubli,Keshwapura,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,364812,2018-12-29T00:00:00+05:30,2019-01-02T00:00:00+05:30,2018-12-29T00:00:00+05:30,31-364812,1023588-3,38.0,31.0,1
446,HUCCHAMMANADODDI GOPAHALLI,591852,11,Ramanagara,GOPAHALLI,1240,Cook Stove GSSV3,GSSV3,,SKDRDP,Greenway Grameena Infra,79755,2017-10-09T00:00:00+05:30,2017-10-11T00:00:00+05:30,2017-10-09T00:00:00+05:30,147-79755,591852-11,37.0,136.0,1
447,MAGADI CITY,605214,12,Magadi,MAGADI,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,129771,2019-02-28T00:00:00+05:30,2019-03-05T00:00:00+05:30,2019-02-28T00:00:00+05:30,150-129771,605214-12,38.0,139.0,1
448,Old Hubli,108259,10,Hubli,Hubli,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,375498,2019-02-27T00:00:00+05:30,2019-03-05T00:00:00+05:30,2019-02-27T00:00:00+05:30,31-375498,108259-10,38.0,31.0,1
449,Alnavar,734245,9,Dandeli,Alnavara,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,214597,2019-02-28T00:00:00+05:30,2019-03-07T00:00:00+05:30,2019-02-28T00:00:00+05:30,13-214597,734245-9,38.0,13.0,1
450,Basruru,683179,1,Kundapur,Basrooru,15500,Solar Light Selco,SH4HLS,4 COMBI Light,SKDRDP,SELCO,851418,2018-07-03T00:00:00+05:30,2018-07-05T00:00:00+05:30,2018-07-03T00:00:00+05:30,12-851418,683179-1,50.0,12.0,1
451,Navalgund  A,1030906,2,Navalgunda,Navalagund,10000,Solar Light Selco,SB2HLS,2 CFL,SKDRDP,SELCO,140374,2019-02-27T00:00:00+05:30,2019-03-01T00:00:00+05:30,2019-02-27T00:00:00+05:30,32-140374,1030906-2,43.0,32.0,1
452,UYYAMBALLI,600197,8,Kanakapura,UYYAMBALLI,1240,Cook Stove GSSV3,GSSV3,,SKDRDP,Greenway Grameena Infra,113880,2018-01-12T00:00:00+05:30,2018-01-16T00:00:00+05:30,2018-01-12T00:00:00+05:30,149-113880,600197-8,37.0,138.0,1
453,Alugudu,222942,3,Thirumakodlu-Narasipura,MADAPURA,1240,Cook Stove GSSV3,GSSV3,,SKDRDP,Greenway Grameena Infra,97708,2018-01-16T00:00:00+05:30,2018-01-22T00:00:00+05:30,2018-01-16T00:00:00+05:30,69-97708,222942-3,37.0,66.0,1
454,Gulbarga M Corp + OG,967763,6,Gulbarga,Basavanagar,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,90573,2019-03-16T00:00:00+05:30,2019-03-18T00:00:00+05:30,2019-03-16T00:00:00+05:30,164-90573,967763-6,38.0,152.0,1
455,Siddapura,328614,4,Chitradurga,Hireguntnuru,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,252944,2018-07-06T00:00:00+05:30,2018-07-09T00:00:00+05:30,2018-07-06T00:00:00+05:30,81-252944,328614-4,38.0,78.0,1
456,NADPAL,661732,7,Karkala,HEBRI,24000,Solar Light Selco,SB8HLS,8 CFL,SKDRDP,SELCO,934860,2018-11-10T000000+0530,2018-11-13T000000+0530,2018-11-10T000000+0530,3-934860,661732-7,47.0,3.0,1
457,Koila,621788,5,Puttur,Kadaba,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,466921,2018-10-30T000000+0530,2018-11-06T000000+0530,2018-10-30T000000+0530,5-466921,621788-5,38.0,5.0,1
458,IRGAMPALLI,561136,1,Chintamani,MUNGANAHALLI,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,140473,2018-10-31T000000+0530,2018-11-01T000000+0530,2018-10-31T000000+0530,141-140473,561136-1,38.0,130.0,1
459,Gubbi,12857,7,Gubbi,Gubbi,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,116341,2018-06-01T00:00:00+05:30,2018-06-08T00:00:00+05:30,2018-06-01T00:00:00+05:30,60-116341,12857-7,38.0,58.0,1
460,Karagadde,866022,1,Moodigere,Kalasa,14750,Solar Light Selco,SH4HLS,4 COMBI Light,SKDRDP,SELCO,243966,2017-12-26T00:00:00+05:30,2017-12-27T00:00:00+05:30,2017-12-26T00:00:00+05:30,6-243966,866022-1,50.0,6.0,1
461,Hospete,431426,5,Hosapete,PATEL NAGAR,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,160403,2018-07-09T00:00:00+05:30,2018-07-11T00:00:00+05:30,2018-07-09T00:00:00+05:30,113-160403,431426-5,38.0,105.0,1
462,Mannur,941248,2,Basavan Bagevadi,Basavanabagewadi,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,61514,2018-10-30T000000+0530,2018-11-05T000000+0530,2018-10-30T000000+0530,159-61514,941248-2,38.0,147.0,1
463,BALAGERI,590490,10,Ramanagara,RAMANAGARA,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,119121,2018-06-01T00:00:00+05:30,2018-06-07T00:00:00+05:30,2018-06-01T00:00:00+05:30,147-119121,590490-10,38.0,136.0,1
464,Kalkuni,405862,12,Malavalli,KIRUGAVALU,10500,Solar Light Selco,SB2HLS,2 CFL,SKDRDP,SELCO,116765,2017-12-04T00:00:00+05:30,2017-12-15T00:00:00+05:30,2017-12-04T00:00:00+05:30,108-116765,405862-12,43.0,100.0,1
465,Hampapura B,201795,13,Krishnarajnagara,Hampapura,1240,Cook Stove GSSV3,GSSV3,,SKDRDP,Greenway Grameena Infra,80567,2017-09-29T00:00:00+05:30,2017-10-02T00:00:00+05:30,2017-09-29T00:00:00+05:30,71-80567,201795-13,37.0,68.0,1
466,Majati,97206,15,Hukkeri,Daddi,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,172719,2018-09-19T00:00:00+05:30,2018-09-26T00:00:00+05:30,2018-09-19T00:00:00+05:30,46-172719,97206-15,38.0,44.0,1
467,Guttalu,390978,14,Mandya,Haluvadi,1240,Cook Stove GSSV3,GSSV3,,SKDRDP,Greenway Grameena Infra,166740,2017-10-09T00:00:00+05:30,2017-10-11T00:00:00+05:30,2017-10-09T00:00:00+05:30,105-166740,390978-14,37.0,97.0,1
468,Ward14,327748,5,Chitradurga,Town-C,12500,Solar Light Selco,EH4HLS,4 LED Light,SKDRDP,SELCO,316723,2019-04-03T00:00:00+05:30,2019-04-08T00:00:00+05:30,2019-04-03T00:00:00+05:30,81-316723,327748-5,36.0,78.0,1
469,HEGGERI,333338,7,Hosadurga,SRIRAMPURA,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,143872,2018-09-25T00:00:00+05:30,2018-09-26T00:00:00+05:30,2018-09-25T00:00:00+05:30,78-143872,333338-7,38.0,75.0,1
470,Uppanasi,176386,1,Hanagal,Kusanur,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,94249,2018-09-22T00:00:00+05:30,2018-09-24T00:00:00+05:30,2018-09-22T00:00:00+05:30,65-94249,176386-1,38.0,62.0,1
471,Muddebihal TMC,945464,15,Muddebihal,MUDDEBIHAL,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,65486,2018-12-29T00:00:00+05:30,2019-01-02T00:00:00+05:30,2018-12-29T00:00:00+05:30,160-65486,945464-15,38.0,148.0,1
472,SASALAKUNTE,48488,1,Pavagada,LINGADAHALLI,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,83142,2019-03-21T00:00:00+05:30,2019-03-21T00:00:00+05:30,2019-03-21T00:00:00+05:30,53-83142,48488-1,38.0,51.0,1
473,Pandithahalli,406886,1,Malavalli,BELAKAVADI,1240,Cook Stove GSSV3,GSSV3,,SKDRDP,Greenway Grameena Infra,114963,2017-11-24T00:00:00+05:30,2017-12-03T00:00:00+05:30,2017-11-24T00:00:00+05:30,108-114963,406886-1,37.0,100.0,1
474,Haarobande,551114,1,Chikkaballapura,HAROBANDE,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,131682,2018-11-03T000000+0530,2018-11-07T000000+0530,2018-11-03T000000+0530,139-131682,551114-1,38.0,128.0,1
475,Bilgi,510923,14,Bagalakote,Bilgi,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,77894,2018-09-05T00:00:00+05:30,2018-09-03T00:00:00+05:30,2018-09-05T00:00:00+05:30,129-77894,510923-14,38.0,120.0,1
476,Haleshapura,281728,6,Channagere,Lingadahalli,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,183307,2018-09-06T00:00:00+05:30,2018-09-10T00:00:00+05:30,2018-09-06T00:00:00+05:30,91-183307,281728-6,38.0,88.0,1
477,Ammasandra,20221,2,Turuvekere,Dhandinashivara,12500,Solar Light Selco,EH4HLS,4 LED Light,SKDRDP,SELCO,140115,2018-10-31T000000+0530,2018-11-05T000000+0530,2018-10-31T000000+0530,58-140115,20221-2,36.0,56.0,1
478,Appihalli,361349,7,Belur,DODDAKODIHALLY,1240,Cook Stove GSSV3,GSSV3,,SKDRDP,Greenway Grameena Infra,71018,2017-10-16T00:00:00+05:30,2017-10-20T00:00:00+05:30,2017-10-16T00:00:00+05:30,99-71018,361349-7,37.0,91.0,1
479,KUNDANA,480554,1,Devanahalli,VISHWANATHAPURA,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,200048,2019-01-21T00:00:00+05:30,2019-01-21T00:00:00+05:30,2019-01-21T00:00:00+05:30,123-200048,480554-1,38.0,115.0,1
480,Maskal,322400,16,Hiriyur,Babbur,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,269433,2019-03-19T00:00:00+05:30,2019-03-20T00:00:00+05:30,2019-03-19T00:00:00+05:30,79-269433,322400-16,38.0,76.0,1
481,Kodambettu,644898,3,Bantwal,Siddakatte,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,707354,2019-01-11T00:00:00+05:30,2019-01-14T00:00:00+05:30,2019-01-11T00:00:00+05:30,10-707354,644898-3,38.0,10.0,1
482,Baggavalli,845130,3,Tarikere,KUDLUR,1240,Cook Stove GSSV3,GSSV3,,SKDRDP,Greenway Grameena Infra,261063,2018-01-20T00:00:00+05:30,2018-01-23T00:00:00+05:30,2018-01-20T00:00:00+05:30,19-261063,845130-3,37.0,19.0,1
483,Yamagumba,210246,3,Hunsur,KARNAKUPPE,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,162622,2018-10-30T000000+0530,2018-11-05T000000+0530,2018-10-30T000000+0530,72-162622,210246-3,38.0,69.0,1
484,AANAMANAHALLI,600581,7,Kanakapura,KASABA,1240,Cook Stove GSSV3,GSSV3,,SKDRDP,Greenway Grameena Infra,87967,2017-10-09T00:00:00+05:30,2017-10-16T00:00:00+05:30,2017-10-09T00:00:00+05:30,149-87967,600581-7,37.0,138.0,1
485,TUPPADAMADU,410136,12,Nagamangala,KASABA,1240,Cook Stove GSSV3,GSSV3,,SKDRDP,Greenway Grameena Infra,100351,2018-01-18T00:00:00+05:30,2018-01-26T00:00:00+05:30,2018-01-18T00:00:00+05:30,109-100351,410136-12,37.0,101.0,1
486,Kunibelakere,267941,6,Harihara,DEVARABELAKERE,9000,Solar Light Selco,EH2HLS,2 LED Light,SKDRDP,SELCO,169501,2018-09-18T00:00:00+05:30,2018-09-19T00:00:00+05:30,2018-09-18T00:00:00+05:30,92-169501,267941-6,35.0,89.0,1
487,HARALAHALLI,380349,6,Krishnarajapete,THENDEKERE,10500,Solar Light Selco,SB2HLS,2 CFL,SKDRDP,SELCO,165923,2018-07-14T00:00:00+05:30,2018-07-26T00:00:00+05:30,2018-07-14T00:00:00+05:30,103-165923,380349-6,43.0,95.0,1
488,THATHIPALYA,577185,2,Mulubagilu,MULBAGAL,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,176217,2019-04-13T00:00:00+05:30,2019-04-15T00:00:00+05:30,2019-04-13T00:00:00+05:30,144-176217,577185-2,38.0,133.0,1
489,Bellad Bagewadi,97141,7,Hukkeri,Bellad Bagewadi,9000,Solar Light Selco,EH2HLS,2 LED Light,SKDRDP,SELCO,173837,2018-09-24T00:00:00+05:30,2018-09-24T00:00:00+05:30,2018-09-24T00:00:00+05:30,46-173837,97141-7,35.0,44.0,1
490,NALIGANAHALLI,48316,5,Pavagada,KOTAGUDDA,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,76601,2018-11-01T000000+0530,2018-11-07T000000+0530,2018-11-01T000000+0530,53-76601,48316-5,38.0,51.0,1
491,Doddennegere,33514,1,Chiknayakanahalli,Handanakere,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,94107,2018-09-01T00:00:00+05:30,2018-09-03T00:00:00+05:30,2018-09-01T00:00:00+05:30,56-94107,33514-1,38.0,54.0,1
492,Beluru,685526,3,Kundapur,Haladi,10500,Solar Light Selco,SB2HLS,2 CFL,SKDRDP,SELCO,791888,2017-12-19T00:00:00+05:30,2017-12-21T00:00:00+05:30,2017-12-19T00:00:00+05:30,12-791888,685526-3,43.0,12.0,1
493,Tejaswinagara,101828,12,Dharwad,Nuggikeri,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,191875,2018-07-24T00:00:00+05:30,2018-07-27T00:00:00+05:30,2018-07-24T00:00:00+05:30,30-191875,101828-12,38.0,30.0,1
494,MUDENUR,71289,15,Ramdurg,HALAGATTI,12500,Solar Light Selco,EH4HLS,4 LED Light,SKDRDP,SELCO,98723,2018-05-28T00:00:00+05:30,2018-06-01T00:00:00+05:30,2018-05-28T00:00:00+05:30,48-98723,71289-15,36.0,46.0,1
495,Chikkamudnur,624445,1,Puttur,Puttur,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,467248,2018-11-03T000000+0530,2018-11-08T000000+0530,2018-11-03T000000+0530,5-467248,624445-1,38.0,5.0,1
496,DUMMENAHALLI,367451,5,Arasikere,JENUKAL,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,191962,2019-03-10T00:00:00+05:30,2019-03-11T00:00:00+05:30,2019-03-10T00:00:00+05:30,100-191962,367451-5,38.0,92.0,1
497,BHIMANA HALLI,410653,4,Nagamangala,DEVALAPURA,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,126507,2018-09-22T00:00:00+05:30,2018-09-28T00:00:00+05:30,2018-09-22T00:00:00+05:30,109-126507,410653-4,38.0,101.0,1
498,Lingadahalli,131014,10,Ranebennur,Kuppelur,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,109214,2018-09-21T00:00:00+05:30,2018-09-24T00:00:00+05:30,2018-09-21T00:00:00+05:30,34-109214,131014-10,38.0,34.0,1
499,Mahantheshnagara,81210,3,Belgaum,MAHANTESHNAGAR,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,212629,2018-09-08T00:00:00+05:30,2018-09-10T00:00:00+05:30,2018-09-08T00:00:00+05:30,51-212629,81210-3,38.0,49.0,1
500,G R Halli,325733,5,Chitradurga,Town-B,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,254460,2018-07-21T00:00:00+05:30,2018-07-23T00:00:00+05:30,2018-07-21T00:00:00+05:30,81-254460,325733-5,38.0,78.0,1
501,Sangankalla,436876,3,Bellary,Moka,1240,Cook Stove GSSV3,GSSV3,,SKDRDP,Greenway Grameena Infra,119902,2018-06-14T00:00:00+05:30,2018-06-18T00:00:00+05:30,2018-06-14T00:00:00+05:30,114-119902,436876-3,37.0,106.0,1
502,Petalur,156932,3,Shirahatti,Dambal,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,90530,2018-11-02T000000+0530,2018-11-06T000000+0530,2018-11-02T000000+0530,37-90530,156932-3,38.0,37.0,1
503,WARD NO. 16,596583,8,Channapatna,KOTE,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,118848,2018-06-16T00:00:00+05:30,2018-06-22T00:00:00+05:30,2018-06-16T00:00:00+05:30,148-118848,596583-8,38.0,137.0,1
504,Ramanathpura,208587,4,Arkalgud,RAMANATHPURA,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,170232,2018-09-04T00:00:00+05:30,2018-09-06T00:00:00+05:30,2018-09-04T00:00:00+05:30,68-170232,208587-4,38.0,65.0,1
505,Kolhar,941445,1,Basavan Bagevadi,Kolhar,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,61544,2018-10-30T000000+0530,2018-11-01T000000+0530,2018-10-30T000000+0530,159-61544,941445-1,38.0,147.0,1
506,Sutagatti,65359,13,Saundatti,Saundatti,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,105866,2018-07-04T00:00:00+05:30,2018-07-09T00:00:00+05:30,2018-07-04T00:00:00+05:30,49-105866,65359-13,38.0,47.0,1
507,Neralagunte,310628,1,Challakere,Challakere,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,248134,2019-03-21T00:00:00+05:30,2019-03-25T00:00:00+05:30,2019-03-21T00:00:00+05:30,77-248134,310628-1,38.0,74.0,1
508,Bijapur CMC,936202,8,Bijapur,VIJAYAPUR,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,118541,2018-11-16T000000+0530,2018-11-20T000000+0530,2018-11-16T000000+0530,158-118541,936202-8,38.0,146.0,1
509,DEVIGERE,332201,1,Hosadurga,JANKAL,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,143851,2018-09-25T00:00:00+05:30,2018-09-26T00:00:00+05:30,2018-09-25T00:00:00+05:30,78-143851,332201-1,38.0,75.0,1
510,Shivapooravadi,87261,4,Chikodi,Karadaga,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,172845,2018-07-03T00:00:00+05:30,2018-07-03T00:00:00+05:30,2018-07-03T00:00:00+05:30,45-172845,87261-4,38.0,43.0,1
511,Munavalli,65340,1,Saundatti,Yaragatti,8000,Solar Light Selco,EH2HLS,2 LED Light,SKDRDP,SELCO,105945,2018-07-05T00:00:00+05:30,2018-07-11T00:00:00+05:30,2018-07-05T00:00:00+05:30,49-105945,65340-1,35.0,47.0,1
512,Hittanahalli Koppalu,406905,7,Malavalli,THALAGAVADI,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,176228,2018-11-06T000000+0530,2018-11-14T000000+0530,2018-11-06T000000+0530,108-176228,406905-7,38.0,100.0,1
513,Rajeshwar,1017328,7,Basavakalyan,Rajeshwar,2350,Greenway Jumbo Stove GJS1,GJS1,,SKDRDP,Greenway Grameena Infra,71844,2018-09-01T00:00:00+05:30,2018-09-07T00:00:00+05:30,2018-09-01T00:00:00+05:30,153-71844,1017328-7,38.0,141.0,1
